job_key,job_id,job_title,category,country_key,role_key,company_key,location_key,published_at,published_date_key,first_seen_date_key,last_seen_date_key,times_seen,role_resolution_method,role_review_required,job_description,job_url
ch-4907507246,4907507246,Senior Business Analyst,Unknown,ch,BA,co-35eca8e7eb61855b,loc-e81b5fe7ffa508f6,2024-10-19 17:28:48+00:00,20241019,20260903,20260923,20,Title rule,False,"Description You want to play a key role in the digital transformation projects of our clients? You want to be involved/hands-on on complex projects with first-tier clients? You are a specialist in your field and ready to develop your potential with our team? You are motivated by teamwork and driven by the sense of efficiency? Then join our team in Bern and Zürich! ELCA Advisory is the consulting business line of ELCA, one of the largest independent IT companies in Switzerland. We provide expert…",https://www.adzuna.ch/details/4907507246?utm_medium=api&utm_source=aa0fc1e4
ch-5049642724,5049642724,Senior Consultant Business Analyst Banking (m/w/d),Beraterstellen,ch,BA,co-588ea422fb76583a,loc-38daf17ca9eeb33d,2025-02-14 12:29:01+00:00,20250214,20260903,20260923,20,Title rule,False,Für unseren Geschäftsbereich Project Services in der Schweiz suchen wir zum nächstmöglichen Zeitpunkt einen Senior Consultant Business Analyst Banking (m/w/d) mit dem Schwerpunkt Banking für unsere Filiale in Zürich.,https://www.adzuna.ch/details/5049642724?utm_medium=api&utm_source=aa0fc1e4
ch-5102286206,5102286206,Senior IT Business Analyst (Software Engineering),IT-Stellen,ch,BA,co-35eca8e7eb61855b,loc-e81b5fe7ffa508f6,2025-03-20 11:33:26+00:00,20250320,20260903,20260923,20,Title rule,False,"Description Du bewegst dich sicher an der Schnittstelle zwischen Technologie und Business , weil du beide Welten wirklich verstehst. Ob Systemarchitektur, User Stories oder Kundengespräche: Du verstehst, wie Systeme aufgebaut sind und worauf es bei der Umsetzung ankommt. Requirements Engineering auf Senior-Level bedeutet für dich: Code lesen, Zusammenhänge verstehen und Lösungen aktiv mitgestalten . Neue Technologien wie AI-Tools und Agentic Engineering sind bereits Teil deines Repertoires und …",https://www.adzuna.ch/details/5102286206?utm_medium=api&utm_source=aa0fc1e4
ch-5253192882,5253192882,Business Analyst IT,Sonstige/Allgemeine Stellen,ch,BA,co-344e12b27c9ebbe6,loc-e81b5fe7ffa508f6,2025-06-16 16:37:05+00:00,20250616,20260903,20260923,21,Title rule,False,"Itecor est une société internationale de conseil en transformation digitale dont le siège est situé en Suisse. Nos consultants relèvent au quotidien le défi de travailler sur des projets pour de prestigieux clients issus aussi bien des secteurs technologiques, bancaires et financiers que du secteur public, de l’enseignement et des produits de grande consommation. Grâce à nos communautés de pratique, nous les accompagnons pour devenir les meilleurs dans leur domaine. Être proche de nos clients, …",https://www.adzuna.ch/details/5253192882?utm_medium=api&utm_source=aa0fc1e4
ch-5415997589,5415997589,Business Analyst BSI CRM / CX (m/w/d),IT-Stellen,ch,BA,co-8f677e57e060f97c,loc-38daf17ca9eeb33d,2025-09-26 19:51:27+00:00,20250926,20260903,20260923,21,Title rule,False,"BOXTOP AG ist eine spezialisierte Beratungsunternehmung in den Bereichen Executive Search, Placement und Project Contracting mit einem etablierten und treuen Kundenportfolio in den Bereichen Banking, Wirtschaftsprüfung, Versicherungswesen und Informationstechnologie. Für unsere Schwesterfirma Boxcon AG, ein gut positioniertes Beratungs- und Dienstleistungsunternehmen in Zug und Zürich, sind wir auf der Suche nach einem engagierten Business Analyst BSI CRM / CX (m/w/d) Aufgaben Sie unterstützen …",https://www.adzuna.ch/details/5415997589?utm_medium=api&utm_source=aa0fc1e4
ch-5501296599,5501296599,Senior Business Analyst Kreditprozess FK (m/w/d),Stellen aus Buchhaltung & Finanzwesen,ch,BA,co-8f677e57e060f97c,loc-38daf17ca9eeb33d,2025-11-18 06:38:59+00:00,20251118,20260903,20260923,21,Title rule,False,"BOXTOP AG ist eine spezialisierte Beratungsunternehmung in den Bereichen Executive Search, Placement und Project Contracting mit einem etablierten und treuen Kundenportfolio in den Bereichen Banking, Wirtschaftsprüfung, Versicherungswesen und Informationstechnologie. Für unsere Schwesterfirma Boxcon AG, ein gut positioniertes Beratungs- und Dienstleistungsunternehmen in Zug und Zürich, sind wir auf der Suche nach einem engagierten Senior Business Analyst Kreditprozess FK (m/w/d) Aufgaben Sie si…",https://www.adzuna.ch/details/5501296599?utm_medium=api&utm_source=aa0fc1e4
ch-5501296602,5501296602,Senior Business Analyst Vertriebsmanagement FK (m/w/d),Stellen aus Buchhaltung & Finanzwesen,ch,BA,co-8f677e57e060f97c,loc-38daf17ca9eeb33d,2025-11-18 06:38:59+00:00,20251118,20260903,20260923,21,Title rule,False,"BOXTOP AG ist eine spezialisierte Beratungsunternehmung in den Bereichen Executive Search, Placement und Project Contracting mit einem etablierten und treuen Kundenportfolio in den Bereichen Banking, Wirtschaftsprüfung, Versicherungswesen und Informationstechnologie. Für unsere Schwesterfirma Boxcon AG, ein gut positioniertes Beratungs- und Dienstleistungsunternehmen in Zug und Zürich, sind wir auf der Suche nach einem engagierten Senior Business Analyst Vertriebsmanagement FK (m/w/d) Aufgaben …",https://www.adzuna.ch/details/5501296602?utm_medium=api&utm_source=aa0fc1e4
ch-5544982395,5544982395,Business Analyst/Product Owner,Beraterstellen,ch,BA,co-5a82d535e3ffd622,loc-81bd2e1b32565683,2025-12-17 01:01:51+00:00,20251217,20260903,20260923,21,Title rule,False,"Description du poste Pour le compte de son client, Nava Consulting est à la recherche d’un Business Analyst/Product Owner à Genève L' Business Analyste sera capable de : Éliciter les besoins métiers, en extraire les exigences fonctionnelles et non fonctionnelles Rédiger des spécifications fonctionnelles basées sur les cas d'utilisation et sur des modèles d'entité Décrire les fonctionnalités sous forme de User Story et de critères d'acceptance, les prioriser dans un Backlog, Animer des ateliers …",https://www.adzuna.ch/details/5544982395?utm_medium=api&utm_source=aa0fc1e4
ch-5582074518,5582074518,Senior IT Business Analyst (m/w/d),Vertriebsstellen,ch,BA,co-53d49b960050d2a3,loc-e81b5fe7ffa508f6,2026-01-13 11:27:50+00:00,20260113,20260903,20260923,21,Title rule,False,"Du durchdringst komplexe Abläufe im Public Sector und erfasst schnell den funktionalen Kern verschiedener Zielsysteme? Dann suchen wir dich, um mit uns gemeinsam die Digitalisierung voranzutreiben – in der Rolle als Senior Business Analyst (m/w/d ) in Bern! Aufgaben Du führst Anforderungsanalysen in grossen Digitalisierungs- und Migrationsprojekten durch Du leitest Projekte mit Fokus auf Funktionalität, Qualität sowie Aufwand- und Kostenschätzung Du skizzierst Use Cases und Prozessmodellierunge…",https://www.adzuna.ch/details/5582074518?utm_medium=api&utm_source=aa0fc1e4
ch-5624904803,5624904803,Business Analyst,Stellen aus Buchhaltung & Finanzwesen,ch,BA,co-f8b15e1facf1515f,loc-38daf17ca9eeb33d,2026-02-11 22:22:42+00:00,20260211,20260903,20260923,21,Title rule,False,"Blockstream was founded in 2014 by Dr. Adam Back and a group of fellow cryptographers and engineers who are passionate about Bitcoin and its potential to change the world. Today, Blockstream is the leading Bitcoin company, providing cutting-edge infrastructure solutions for enterprises, institutions, and individual Bitcoin users. We develop industry-leading Bitcoin self-custody solutions, Bitcoin-based financial products, second-layer scaling technologies, and enterprise-grade blockchain infras…",https://www.adzuna.ch/details/5624904803?utm_medium=api&utm_source=aa0fc1e4
